epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1432.24,0.84017,0.61711,0.89512,0.78326,0.67275,0.76365,0.5384,0.93457,0.83743,0.94558,0.00123566,0.00123566,0.00123566
43,1465.7,0.839,0.61545,0.9008,0.7655,0.68307,0.76741,0.5403,0.92233,0.83362,0.94859,0.00123094,0.00123094,0.00123094
44,1498.94,0.83272,0.61232,0.89553,0.7646,0.68166,0.76114,0.54363,0.89946,0.84089,0.93825,0.00122622,0.00122622,0.00122622
45,1532.22,0.83017,0.60697,0.89546,0.79278,0.67566,0.76937,0.54011,0.91165,0.83371,0.94117,0.00122151,0.00122151,0.00122151
46,1565.6,0.83175,0.61278,0.89687,0.7991,0.66813,0.76683,0.54315,0.90484,0.84389,0.94218,0.00121679,0.00121679,0.00121679
47,1598.6,0.84252,0.61615,0.8982,0.78944,0.68079,0.76932,0.54035,0.91339,0.83653,0.94378,0.00121208,0.00121208,0.00121208
48,1631.86,0.83591,0.61037,0.89826,0.78664,0.67843,0.77181,0.54428,0.90883,0.83242,0.93994,0.00120736,0.00120736,0.00120736
49,1664.96,0.84083,0.61763,0.90109,0.77267,0.66988,0.76389,0.53791,0.91124,0.84555,0.94649,0.00120265,0.00120265,0.00120265
50,1698.16,0.82576,0.60645,0.8977,0.73602,0.7094,0.76377,0.5417,0.91122,0.84291,0.94475,0.00119793,0.00119793,0.00119793
51,1731.48,0.82587,0.60777,0.8968,0.75761,0.68885,0.7601,0.54086,0.90653,0.83757,0.94076,0.00119322,0.00119322,0.00119322
52,1764.7,0.82923,0.60772,0.89159,0.79039,0.68025,0.77334,0.54698,0.8982,0.83576,0.93758,0.0011885,0.0011885,0.0011885
53,1798.16,0.83284,0.60957,0.89547,0.77857,0.66141,0.76655,0.54401,0.90669,0.84293,0.94448,0.00118378,0.00118378,0.00118378
54,1831.49,0.83532,0.60746,0.89321,0.7452,0.70182,0.76299,0.53789,0.9223,0.85288,0.94483,0.00117907,0.00117907,0.00117907
55,1864.83,0.82607,0.60619,0.89435,0.79225,0.65992,0.76067,0.53642,0.91452,0.84241,0.9418,0.00117435,0.00117435,0.00117435
56,1898,0.83083,0.6106,0.89491,0.80502,0.66134,0.75948,0.54026,0.90597,0.84406,0.94024,0.00116964,0.00116964,0.00116964
57,1931.3,0.83381,0.60528,0.89501,0.77185,0.6839,0.76216,0.53599,0.9119,0.84609,0.94124,0.00116492,0.00116492,0.00116492
58,1964.48,0.83457,0.60657,0.89381,0.79765,0.66875,0.76559,0.54103,0.91648,0.84364,0.94888,0.00116021,0.00116021,0.00116021
59,1997.62,0.82447,0.6,0.8904,0.74334,0.69937,0.75992,0.53529,0.92382,0.84405,0.95126,0.00115549,0.00115549,0.00115549
60,2030.88,0.8228,0.59763,0.89008,0.77249,0.67972,0.76529,0.53849,0.90295,0.83655,0.94277,0.00115077,0.00115077,0.00115077
61,2064.18,0.83103,0.60708,0.89698,0.76062,0.69355,0.76356,0.53771,0.9063,0.83729,0.9404,0.00114606,0.00114606,0.00114606
62,2097.63,0.82522,0.60305,0.89348,0.77671,0.68695,0.76911,0.53808,0.92994,0.84114,0.94829,0.00114134,0.00114134,0.00114134
63,2130.84,0.81901,0.59507,0.89098,0.77114,0.67887,0.76161,0.53992,0.91889,0.83984,0.94766,0.00113663,0.00113663,0.00113663
64,2164.03,0.81945,0.59658,0.89155,0.75455,0.70131,0.76508,0.53612,0.90892,0.84181,0.94692,0.00113191,0.00113191,0.00113191
65,2197.3,0.83921,0.60717,0.89781,0.76577,0.68463,0.76305,0.53469,0.91452,0.85764,0.94738,0.0011272,0.0011272,0.0011272
66,2230.65,0.8151,0.59277,0.89163,0.76105,0.67661,0.76308,0.53382,0.91491,0.85123,0.94636,0.00112248,0.00112248,0.00112248
67,2263.52,0.82757,0.60246,0.89569,0.76119,0.67967,0.75873,0.53834,0.90538,0.85121,0.94291,0.00111776,0.00111776,0.00111776
68,2296.59,0.83086,0.60256,0.89253,0.77449,0.67222,0.76247,0.53495,0.92322,0.83865,0.95179,0.00111305,0.00111305,0.00111305
69,2329.92,0.81813,0.59433,0.88821,0.78574,0.67573,0.76161,0.53436,0.91227,0.84178,0.95044,0.00110833,0.00110833,0.00110833
70,2363.1,0.81603,0.5915,0.8936,0.79076,0.67568,0.76162,0.53987,0.9175,0.84264,0.95315,0.00110362,0.00110362,0.00110362
71,2396.41,0.82065,0.59669,0.8931,0.76282,0.68114,0.7592,0.53324,0.91363,0.84878,0.9473,0.0010989,0.0010989,0.0010989
72,2429.48,0.81766,0.59551,0.89064,0.72398,0.70992,0.75871,0.53168,0.90574,0.85451,0.94896,0.00109419,0.00109419,0.00109419
73,2462.82,0.81845,0.59227,0.891,0.75296,0.69401,0.76157,0.53858,0.91219,0.84135,0.95481,0.00108947,0.00108947,0.00108947
74,2495.92,0.8171,0.59313,0.89024,0.75124,0.6875,0.75987,0.53139,0.92694,0.83122,0.95167,0.00108475,0.00108475,0.00108475
75,2529.06,0.82374,0.59228,0.89402,0.77278,0.67994,0.76432,0.53793,0.9037,0.82531,0.95173,0.00108004,0.00108004,0.00108004
76,2562.3,0.82424,0.59216,0.89016,0.74336,0.68709,0.76005,0.53129,0.91638,0.84994,0.95322,0.00107532,0.00107532,0.00107532
77,2595.6,0.81922,0.59427,0.88966,0.75827,0.68095,0.75797,0.53372,0.92102,0.84036,0.94723,0.00107061,0.00107061,0.00107061
78,2629.29,0.81652,0.59108,0.88993,0.76916,0.6828,0.7656,0.53905,0.90327,0.83841,0.94191,0.00106589,0.00106589,0.00106589
79,2662.75,0.81245,0.58758,0.88899,0.74555,0.69811,0.76217,0.53748,0.90322,0.83373,0.9399,0.00106118,0.00106118,0.00106118
80,2696.41,0.81483,0.58772,0.88957,0.71694,0.7094,0.75449,0.53242,0.91045,0.85101,0.9413,0.00105646,0.00105646,0.00105646
81,2729.98,0.81641,0.59094,0.89095,0.79699,0.65015,0.75892,0.5364,0.90809,0.83755,0.93886,0.00105174,0.00105174,0.00105174
82,2763.59,0.80939,0.58242,0.88565,0.76487,0.68855,0.76565,0.53827,0.91315,0.83016,0.94737,0.00104703,0.00104703,0.00104703
