epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1095.67,1.22361,0.78794,0.98193,0.76154,0.72879,0.79973,0.6016,0.79815,0.84326,0.96337,0.00121591,0.00121591,0.00121591
43,1122.34,1.22204,0.78337,0.98173,0.75362,0.74948,0.80401,0.59264,0.83229,0.79167,0.95781,0.00120491,0.00120491,0.00120491
44,1149.37,1.22775,0.79469,0.98372,0.75602,0.73914,0.80689,0.60193,0.80143,0.78445,0.94046,0.00119391,0.00119391,0.00119391
45,1178.18,1.21324,0.77834,0.97889,0.77926,0.73188,0.812,0.61193,0.78505,0.74139,0.9474,0.0011829,0.0011829,0.0011829
46,1205.79,1.20874,0.78064,0.9742,0.75544,0.74363,0.80942,0.60785,0.76826,0.81098,0.94077,0.0011719,0.0011719,0.0011719
47,1233.59,1.21455,0.77755,0.97722,0.75928,0.75316,0.81029,0.60802,0.78743,0.8054,0.95663,0.0011609,0.0011609,0.0011609
48,1260.75,1.19702,0.77534,0.9731,0.77905,0.73452,0.8055,0.59709,0.80526,0.75738,0.97658,0.0011499,0.0011499,0.0011499
49,1287.74,1.21674,0.78439,0.97818,0.75625,0.74801,0.80577,0.60489,0.78011,0.79305,0.9529,0.00113889,0.00113889,0.00113889
50,1315.59,1.20002,0.77019,0.9725,0.77988,0.72913,0.80665,0.59754,0.79779,0.73436,0.96445,0.00112789,0.00112789,0.00112789
51,1342.6,1.18259,0.76644,0.97188,0.77436,0.72654,0.80739,0.60308,0.78454,0.78825,0.95508,0.00111689,0.00111689,0.00111689
52,1369.51,1.19381,0.77403,0.97292,0.79054,0.7286,0.8088,0.61127,0.77507,0.78706,0.949,0.00110589,0.00110589,0.00110589
53,1396.39,1.18634,0.76856,0.97008,0.77364,0.73615,0.80999,0.61247,0.78399,0.72676,0.9647,0.00109489,0.00109489,0.00109489
54,1422.7,1.19169,0.76311,0.96811,0.77892,0.72671,0.81125,0.61241,0.77435,0.7601,0.95614,0.00108388,0.00108388,0.00108388
55,1448.59,1.18213,0.76288,0.96926,0.76785,0.73798,0.80807,0.6029,0.78094,0.79941,0.94177,0.00107288,0.00107288,0.00107288
56,1474.65,1.19676,0.76658,0.96934,0.77996,0.72464,0.80126,0.6072,0.77916,0.81662,0.93889,0.00106188,0.00106188,0.00106188
57,1501.04,1.17725,0.75447,0.96543,0.77826,0.72865,0.80975,0.618,0.78314,0.76068,0.96929,0.00105088,0.00105088,0.00105088
58,1527.5,1.17989,0.75812,0.96582,0.76755,0.74247,0.80771,0.61059,0.80101,0.80453,0.98467,0.00103987,0.00103987,0.00103987
59,1553.21,1.16874,0.75153,0.96291,0.75146,0.75082,0.80504,0.60985,0.78819,0.77833,0.96119,0.00102887,0.00102887,0.00102887
60,1578.93,1.18098,0.75366,0.96406,0.76992,0.74193,0.80803,0.61134,0.80005,0.78278,0.95786,0.00101787,0.00101787,0.00101787
61,1605.18,1.17077,0.7517,0.96108,0.74726,0.74774,0.79639,0.59583,0.83856,0.84697,0.99269,0.00100687,0.00100687,0.00100687
62,1630.87,1.16016,0.74549,0.96009,0.75194,0.74876,0.80218,0.60862,0.78876,0.83913,0.95687,0.000995866,0.000995866,0.000995866
63,1656.6,1.15238,0.74242,0.95821,0.76764,0.74227,0.80304,0.60683,0.78665,0.78752,0.95488,0.000984864,0.000984864,0.000984864
64,1682.33,1.14945,0.74213,0.95698,0.7649,0.73909,0.80864,0.61443,0.75856,0.73405,0.94466,0.000973861,0.000973861,0.000973861
65,1708.06,1.14147,0.73391,0.95537,0.74903,0.75253,0.80186,0.60461,0.79707,0.80162,0.9489,0.000962859,0.000962859,0.000962859
66,1733.74,1.15253,0.73932,0.96032,0.75527,0.7487,0.80125,0.60501,0.78358,0.81933,0.9511,0.000951857,0.000951857,0.000951857
67,1759.44,1.14934,0.73771,0.95735,0.76793,0.73412,0.80406,0.60496,0.78466,0.76595,0.9597,0.000940855,0.000940855,0.000940855
68,1785.16,1.14662,0.7411,0.95519,0.76156,0.74175,0.80042,0.60199,0.7911,0.80133,0.96746,0.000929853,0.000929853,0.000929853
69,1810.83,1.15175,0.73868,0.95671,0.75705,0.74154,0.80106,0.6076,0.79782,0.77252,0.96088,0.00091885,0.00091885,0.00091885
70,1836.55,1.14008,0.73473,0.95497,0.7619,0.73974,0.80211,0.60788,0.79779,0.76975,0.96742,0.000907848,0.000907848,0.000907848
71,1862.24,1.14075,0.73402,0.95253,0.75627,0.73861,0.80153,0.60195,0.80155,0.77721,0.95955,0.000896846,0.000896846,0.000896846
72,1887.95,1.13883,0.73393,0.9514,0.76077,0.73701,0.80372,0.61301,0.76462,0.80089,0.95353,0.000885844,0.000885844,0.000885844
73,1913.68,1.13251,0.72629,0.9514,0.76487,0.72818,0.79584,0.59438,0.78695,0.7595,0.9631,0.000874842,0.000874842,0.000874842
74,1939.42,1.13247,0.72861,0.94758,0.76048,0.74829,0.80609,0.61007,0.78418,0.78131,0.98695,0.000863839,0.000863839,0.000863839
75,1965.12,1.12262,0.72339,0.9484,0.76938,0.7306,0.80068,0.60745,0.78897,0.76645,0.98588,0.000852837,0.000852837,0.000852837
76,1990.81,1.12217,0.72252,0.94757,0.76643,0.72933,0.80211,0.61048,0.79153,0.79681,0.97076,0.000841835,0.000841835,0.000841835
77,2016.49,1.13073,0.72828,0.95149,0.77628,0.72443,0.80523,0.6101,0.7689,0.75284,0.95066,0.000830833,0.000830833,0.000830833
78,2042.15,1.12499,0.72534,0.95018,0.76778,0.74344,0.80873,0.61599,0.77539,0.75899,0.96981,0.000819831,0.000819831,0.000819831
79,2067.79,1.11895,0.71993,0.94516,0.77277,0.73284,0.80827,0.61702,0.77653,0.74571,0.99982,0.000808828,0.000808828,0.000808828
80,2093.5,1.11587,0.71817,0.94726,0.76677,0.74274,0.80433,0.61158,0.78905,0.81597,0.98519,0.000797826,0.000797826,0.000797826
81,2119.16,1.11197,0.71796,0.94494,0.76514,0.73491,0.80545,0.61278,0.7996,0.79178,0.97919,0.000786824,0.000786824,0.000786824
82,2144.88,1.12725,0.71977,0.94693,0.76705,0.73176,0.79946,0.60386,0.82415,0.80328,1.00964,0.000775822,0.000775822,0.000775822
83,2170.58,1.11442,0.71809,0.94325,0.76395,0.73492,0.80731,0.61417,0.78288,0.73024,0.97853,0.00076482,0.00076482,0.00076482
84,2196.96,1.11407,0.71248,0.94369,0.77049,0.7196,0.8044,0.61242,0.79294,0.72731,0.95313,0.000753817,0.000753817,0.000753817
85,2222.72,1.11159,0.71496,0.94168,0.761,0.74179,0.80813,0.61674,0.78457,0.74971,0.96761,0.000742815,0.000742815,0.000742815
86,2248.47,1.11684,0.71883,0.94589,0.79153,0.71249,0.80892,0.6178,0.76999,0.76483,0.97437,0.000731813,0.000731813,0.000731813
87,2274.18,1.09743,0.70607,0.93973,0.77471,0.72375,0.80352,0.61279,0.81236,0.78332,1.00742,0.000720811,0.000720811,0.000720811
88,2299.92,1.10326,0.7074,0.93953,0.75423,0.74982,0.80599,0.61352,0.77381,0.77203,0.96759,0.000709809,0.000709809,0.000709809
89,2325.61,1.10156,0.70777,0.93998,0.78302,0.72351,0.80715,0.61385,0.76992,0.74523,0.96291,0.000698806,0.000698806,0.000698806
90,2351.31,1.09331,0.7021,0.93604,0.78321,0.72893,0.80983,0.62122,0.7448,0.73837,0.95831,0.000687804,0.000687804,0.000687804
91,2377.05,1.09759,0.70577,0.94241,0.80273,0.71161,0.80892,0.62089,0.78288,0.72537,0.9757,0.000676802,0.000676802,0.000676802
92,2402.74,1.10026,0.70506,0.94056,0.77924,0.72455,0.80714,0.6129,0.76595,0.77075,0.95771,0.0006658,0.0006658,0.0006658
93,2428.51,1.09999,0.7046,0.94013,0.77237,0.73006,0.80584,0.61442,0.7619,0.75569,0.96302,0.000654798,0.000654798,0.000654798
94,2454.28,1.09555,0.70078,0.93895,0.76377,0.74328,0.80793,0.61755,0.76061,0.75037,0.96961,0.000643795,0.000643795,0.000643795
95,2480.03,1.08154,0.70176,0.93558,0.78459,0.72191,0.80853,0.62123,0.76628,0.75175,0.98737,0.000632793,0.000632793,0.000632793
96,2505.79,1.08993,0.6996,0.93508,0.75722,0.74346,0.80788,0.62023,0.76992,0.77191,0.97564,0.000621791,0.000621791,0.000621791
97,2531.47,1.08335,0.69875,0.9311,0.78148,0.71829,0.80481,0.61887,0.76998,0.76528,0.9666,0.000610789,0.000610789,0.000610789
98,2557.15,1.08211,0.70067,0.93452,0.77661,0.72991,0.80159,0.61071,0.78306,0.76065,0.96904,0.000599787,0.000599787,0.000599787
99,2582.91,1.08253,0.69641,0.93204,0.78415,0.72031,0.80833,0.61584,0.77223,0.76583,0.97368,0.000588784,0.000588784,0.000588784
100,2608.71,1.07495,0.69279,0.93673,0.77273,0.73217,0.80354,0.61731,0.77532,0.77083,0.96463,0.000577782,0.000577782,0.000577782
101,2634.47,1.061,0.68411,0.92728,0.77552,0.73918,0.80979,0.61699,0.77545,0.73838,0.9523,0.00056678,0.00056678,0.00056678
102,2660.21,1.06867,0.68881,0.92965,0.76269,0.74841,0.8089,0.61967,0.75974,0.73581,0.96211,0.000555778,0.000555778,0.000555778
103,2685.93,1.07512,0.69263,0.93292,0.76476,0.73997,0.80569,0.61276,0.74875,0.7546,0.97241,0.000544776,0.000544776,0.000544776
104,2712.1,1.07371,0.69084,0.92963,0.77791,0.72911,0.8043,0.6152,0.75083,0.74094,0.954,0.000533773,0.000533773,0.000533773
105,2739.52,1.06368,0.68758,0.92967,0.76142,0.73828,0.8059,0.61791,0.75925,0.76624,0.95981,0.000522771,0.000522771,0.000522771
106,2765.74,1.06224,0.68914,0.92998,0.77643,0.73151,0.80294,0.61128,0.78212,0.75504,0.96857,0.000511769,0.000511769,0.000511769
107,2791.85,1.07663,0.68985,0.92824,0.78463,0.71913,0.80725,0.62154,0.7438,0.75481,0.94527,0.000500767,0.000500767,0.000500767
108,2817.68,1.05601,0.68628,0.92696,0.78848,0.7195,0.80704,0.62246,0.75187,0.76182,0.96391,0.000489765,0.000489765,0.000489765
109,2843.44,1.06524,0.68924,0.92966,0.78274,0.72757,0.80596,0.61963,0.76424,0.77721,0.95704,0.000478762,0.000478762,0.000478762
110,2869.68,1.05959,0.68445,0.92991,0.78053,0.72486,0.8057,0.61665,0.7652,0.76256,0.94056,0.00046776,0.00046776,0.00046776
111,2895.37,1.06413,0.68807,0.92689,0.7796,0.71997,0.80202,0.61125,0.75749,0.76215,0.94721,0.000456758,0.000456758,0.000456758
112,2921.2,1.06103,0.67965,0.92442,0.78126,0.72928,0.80419,0.61855,0.74893,0.74545,0.95808,0.000445756,0.000445756,0.000445756
113,2946.89,1.05091,0.67839,0.92482,0.77431,0.72386,0.80104,0.61239,0.76586,0.7454,0.9708,0.000434754,0.000434754,0.000434754
114,2973.28,1.04378,0.67273,0.9201,0.78032,0.72444,0.80341,0.61419,0.75268,0.72898,0.96003,0.000423751,0.000423751,0.000423751
115,2998.97,1.05624,0.67648,0.92452,0.7736,0.73291,0.80371,0.6182,0.74705,0.7487,0.95861,0.000412749,0.000412749,0.000412749
116,3024.69,1.04808,0.67432,0.9229,0.7866,0.7211,0.80321,0.61453,0.76123,0.75986,0.95893,0.000401747,0.000401747,0.000401747
117,3050.4,1.04542,0.67444,0.9224,0.77756,0.72432,0.80165,0.61843,0.73321,0.77518,0.94266,0.000390745,0.000390745,0.000390745
118,3076.67,1.04553,0.67877,0.92172,0.7883,0.71903,0.80434,0.61877,0.72191,0.73463,0.94201,0.000379743,0.000379743,0.000379743
119,3102.37,1.03605,0.67156,0.91759,0.7946,0.71457,0.80602,0.62515,0.73405,0.74473,0.9504,0.00036874,0.00036874,0.00036874
120,3128.12,1.04299,0.67571,0.92002,0.78166,0.73064,0.80596,0.61923,0.74372,0.73336,0.9412,0.000357738,0.000357738,0.000357738
121,3153.84,1.04123,0.67375,0.91768,0.76609,0.74061,0.8053,0.61766,0.75464,0.74804,0.94893,0.000346736,0.000346736,0.000346736
122,3179.53,1.02971,0.67208,0.91512,0.75962,0.75045,0.80661,0.62242,0.73982,0.73847,0.95115,0.000335734,0.000335734,0.000335734
